"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","pixels_per_unit","is_correct","search_difficulty","enhanced","originalDigits","currentSpanLength","reversedDigits","span_length","correct_digits","digit_accuracy","trial_Type","VISsearch_propcorrect","VISsearch_meanRT","DSBpre_propcorrect","DSBpre_maxspan","DSBpre_digitaccuracy","DSBpre_rt","vegetationLevel","imageType","DSBpost_propcorrect","DSBpost_maxspan","DSBpost_digitaccuracy","DSBpost_rt","block","trial","trialid","VisDifficulty","Vis_meanRT","Vis_propCorr","imageIDX","attention_check_correct","target_button","question_order","image_id","iamge_set"
"true","false","[]","[]","[]","preload","0","4660","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","20085","0.0-1.0","15424","welcome_msg","0","wecome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","2","24005","0.0-2.0","3917","PISdoc","0","PIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","33772","0.0-3.0","9767","<div style= ""font-size: 24px; color: white; 
        position: absolute;
         top: 50%;left: 50%; transform: translate(-50%, -50%)"">        

            <br>Welcome to the experiment.<br> 
            Please read the instructions carefully.<br>
            There are two task types.<br><br>
            In the visual search task:<br>
            You must search the screen for either a red <font color = ""red"">""T"" </font>
            or blue <font color = ""blue""> ""O"" </font> hidden among red <font color = ""red""> ""X""s </font>.
            <br><br> In the digit task:<br> You must recall a list of numbers in reverse order. </div>
        ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","52144","0.0-4.0","18371","calibration","0","calibration","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","60388","0.0-5.0","8243","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","61236","0.0-6.0","846.7999999998137","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","62037","0.0-7.0","801.2000000001863","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","62673","0.0-8.0","635.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","63459","0.0-9.0","785.4000000003725","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","64499","0.0-10.0","1039.4000000003725","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","65508","0.0-11.0","1008.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","66558","0.0-12.0","1049.6000000005588","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","67705","0.0-13.0","1146.6000000005588","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","68892","0.0-14.0","1186.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","69895","0.0-15.0","1002.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","74268","0.0-16.0","4372","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","78848","0.0-17.0","","DSB","","DSB 6068","","","","","[6,0,6,8]","4","8606","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
