"success","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","pixels_per_unit","is_correct","search_difficulty","enhanced","originalDigits","currentSpanLength","reversedDigits","span_length","correct_digits","digit_accuracy","attention_check_correct","target_button","trial_Type","VISsearch_propcorrect","VISsearch_meanRT","DSBpre_propcorrect","DSBpre_maxspan","DSBpre_digitaccuracy","DSBpre_rt","vegetationLevel","imageType","DSBpost_propcorrect","DSBpost_maxspan","DSBpost_digitaccuracy","DSBpost_rt","block","trial","trialid","VisDifficulty","Vis_meanRT","Vis_propCorr","imageIDX","question_order","image_id","iamge_set"
"true","fullscreen_enter","fullscreen","0","4561","0.0-0.0","28","female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","preload","1","5207","0.0-1.0","28","female","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","wecome","html-button-response","2","14124","0.0-2.0","28","female","","","","","8916","welcome_msg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PIS","html-button-response","3","25909","0.0-3.0","28","female","","","","","11780","PISdoc","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics","survey-html-form","4","33244","0.0-4.0","28","female","","","","","7332","","{""age"":""28"",""gender"":""female""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","5","94343","0.0-5.0","28","female","","","","","61096","<div style= ""font-size: 24px; color: white; 
        position: absolute;
         top: 50%;left: 50%; transform: translate(-50%, -50%)"">        

            <br>Welcome to the experiment.<br> 
            Please read the instructions carefully.<br>
            There are two task types.<br><br>
            In the visual search task:<br>
            You must search the screen for either a red <font color = ""red"">""T"" </font>
            or blue <font color = ""blue""> ""O"" </font> hidden among red <font color = ""red""> ""X""s </font>.
            <br><br> In the digit task:<br> You must recall a list of numbers in reverse order. </div>
        ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","calibration","html-button-response","6","130408","0.0-6.0","28","female","","","","","36063","calibration","0","151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VS_instruct","html-button-response","7","135375","0.0-7.0","28","female","","","","","4965","VS_instruct","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","8","137474","0.0-8.0","28","female","","","","","2097.3999999910593","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","9","138791","0.0-9.0","28","female","","","","","1315.5","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","10","139807","0.0-10.0","28","female","","","","","1014.5999999940395","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","11","141208","0.0-11.0","28","female","","","","","1399.5","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","12","142558","0.0-12.0","28","female","","","","","1348.5","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","13","144008","0.0-13.0","28","female","","","","","1448.699999988079","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","14","146041","0.0-14.0","28","female","","","","","2032","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","15","147924","0.0-15.0","28","female","","","","","1882.1000000089407","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","16","149474","0.0-16.0","28","female","","","","","1548.5","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","17","150658","0.0-17.0","28","female","","","","","1182.2999999970198","VisSearch","","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB_instruct","html-button-response","18","165962","0.0-18.0","28","female","","","","","15303","DSB_instruct","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB 5932","html-keyboard-response","19","169680","0.0-19.0","28","female","","","","","","DSB","","","","","","[5,9,3,2]","4","2395","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSBrecall","html-button-response","20","179925","0.0-20.0","28","female","","","","","182363.60000000894","DSBrecall","2395","","true","","","","","","4","4","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","feedback","html-button-response","21","199692","0.0-21.0","28","female","","","","","19765","<div class =""experiment-text""; style=""font-size: 24.16px;"">
            Correct!<br><br>
            Good job!
            </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB_instruct","html-button-response","22","206976","0.0-22.0","28","female","","","","","7282","DSB_instruct","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB 76413692","html-keyboard-response","23","214303","0.0-23.0","28","female","","","","","","DSB","","","","","","[7,6,4,1,3,6,9,2]","8","29631467","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSBrecall","html-button-response","24","253159","0.0-24.0","28","female","","","","","255596.10000000894","DSBrecall","29631467","","true","","","","","","8","8","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","feedback","html-button-response","25","260176","0.0-25.0","28","female","","","","","7016","<div class =""experiment-text""; style=""font-size: 24.16px;"">
            Correct!<br><br>
            Good job!
            </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VS_instruct","html-button-response","26","264826","0.0-26.0","28","female","","","","","4648","VS_instruct","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","27","266225","0.0-27.0","28","female","","","","","1398.199999988079","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","28","267625","0.0-28.0","28","female","","","","","1399.2000000029802","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","29","269092","0.0-29.0","28","female","","","","","1465.2999999970198","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","30","271593","0.0-30.0","28","female","","","","","null","VisSearch","","","false","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","31","273259","0.0-31.0","28","female","","","","","1664.2000000029802","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","32","275025","0.0-32.0","28","female","","","","","1765.4000000059605","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","33","276592","0.0-33.0","28","female","","","","","1566.0999999940395","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","34","278092","0.0-34.0","28","female","","","","","1498.800000011921","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","35","279275","0.0-35.0","28","female","","","","","1181.9000000059605","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VisSearch","html-button-response","36","280859","0.0-36.0","28","female","","","","","1582.5","VisSearch","","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB_instruct","html-button-response","37","283326","0.0-37.0","28","female","","","","","2466","DSB_instruct","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB 2526","html-keyboard-response","38","287042","0.0-38.0","28","female","","","","","","DSB","","","","","","[2,5,2,6]","4","6252","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSBrecall","html-button-response","39","297491","0.0-39.0","28","female","","","","","299928","DSBrecall","6252","","true","","","","","","4","4","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","feedback","html-button-response","40","300593","0.0-40.0","28","female","","","","","3100","<div class =""experiment-text""; style=""font-size: 24.16px;"">
            Correct!<br><br>
            Good job!
            </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB_instruct","html-button-response","41","303093","0.0-41.0","28","female","","","","","2499","DSB_instruct","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSB 55960283","html-keyboard-response","42","310420","0.0-42.0","28","female","","","","","","DSB","","","","","","[5,5,9,6,0,2,8,3]","8","38206955","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DSBrecall","html-button-response","43","341759","0.0-43.0","28","female","","","","","344195.3000000119","DSBrecall","38260555","","false","","","","","","8","5","0.625","","","","","","","","","","","","","","","","","","","","","","","","",""
